product_id,product_name,department,Category,Product_type,final_price,discount_percentage,rating,rating_count,price_segment,engagement_level,performance_segment
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers & Accessories,Accessories & Peripherals,USBCables,399.0,64,4.2,24269.0,Budget,High Engagement,Star Product
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers & Accessories,Accessories & Peripherals,USBCables,199.0,43,4.0,43994.0,Budget,High Engagement,Low Performer
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers & Accessories,Accessories & Peripherals,USBCables,199.0,90,3.9,7928.0,Budget,Medium Engagement,Mass but Risky
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers & Accessories,Accessories & Peripherals,USBCables,329.0,53,4.2,94363.0,Budget,High Engagement,Star Product
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers & Accessories,Accessories & Peripherals,USBCables,154.0,61,4.2,16905.0,Budget,High Engagement,Star Product
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers & Accessories,Accessories & Peripherals,USBCables,149.0,85,3.9,24871.0,Budget,High Engagement,Mass but Risky
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers & Accessories,Accessories & Peripherals,USBCables,176.63,65,4.1,15188.0,Budget,High Engagement,Low Performer
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers & Accessories,Accessories & Peripherals,USBCables,229.0,23,4.3,30411.0,Budget,High Engagement,Star Product
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers & Accessories,NetworkingDevices,USBCables,499.0,50,4.2,179691.0,Budget,High Engagement,Star Product
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers & Accessories,Accessories & Peripherals,USBCables,199.0,33,4.0,43994.0,Budget,High Engagement,Low Performer
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),Computers & Accessories,Accessories & Peripherals,USBCables,154.0,55,4.3,13391.0,Budget,High Engagement,Star Product
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),Computers & Accessories,Accessories & Peripherals,USBCables,299.0,63,4.2,94363.0,Budget,High Engagement,Star Product
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",Electronics,"HomeTheater,TV & Video",HDMICables,219.0,69,4.4,426973.0,Budget,High Engagement,Star Product
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",Computers & Accessories,Accessories & Peripherals,USBCables,350.0,61,4.2,2262.0,Budget,Medium Engagement,Hidden Gem
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),Computers & Accessories,Accessories & Peripherals,USBCables,159.0,60,4.1,4768.0,Budget,Medium Engagement,Low Performer
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),Computers & Accessories,Accessories & Peripherals,USBCables,349.0,13,4.4,18757.0,Budget,High Engagement,Star Product
